ID,LIMIT_BAL,GENDER,EDUCATION,MARRIAGE,AGE,PAY_HISTORY,BILL_AMT,PAY_AMT,default
117,170000,MALE,1,2,33,-1,1160.5,1384,0
118,110000,MALE,2,2,31,-1,237.3333333,33.33333333,0
119,230000,MALE,2,1,53,-1,303.3333333,78.33333333,0
120,200000,MALE,1,2,40,-1,6559.833333,6349.833333,0
121,230000,MALE,1,1,61,-1,3759,4677.5,0
122,350000,MALE,1,2,33,-1,33068.83333,13025,0
123,360000,MALE,6,1,66,-1,54753.33333,75708.33333,0
124,180000,FEMALE,3,1,47,-1,316,316,0
125,400000,FEMALE,3,1,39,-1,1745.333333,1640,0
126,170000,MALE,1,1,42,-1,414.1666667,1713.666667,0
127,150000,FEMALE,3,2,28,-1,2302.333333,2979.166667,0
128,120000,FEMALE,2,1,47,-1,1622.333333,1478.5,0
129,50000,FEMALE,3,1,44,-1,1612.333333,1347.166667,0
130,60000,MALE,1,2,27,-1,6586.166667,3046.833333,0
131,120000,FEMALE,2,1,34,-1,3597.166667,3691.5,0
132,200000,FEMALE,2,2,34,-1,2384.666667,2384.666667,0
133,140000,FEMALE,2,1,24,-1,1714.666667,2035.666667,0
134,70000,FEMALE,1,2,31,7,2400,0,1
135,180000,FEMALE,2,2,42,2,52804.33333,2166.666667,1
136,350000,FEMALE,2,1,29,-1,6910.5,6288.333333,0
137,20000,MALE,2,2,24,-1,390,260,0
138,80000,MALE,3,1,62,-1,2432.5,5603.666667,0
139,220000,FEMALE,3,1,38,-1,18991,18829.66667,0
140,180000,FEMALE,1,2,32,-1,666,666,0
141,50000,FEMALE,2,1,50,-1,816.5,1588.166667,0
142,60000,FEMALE,2,2,23,-1,4910.166667,4657.5,0
143,70000,FEMALE,3,1,49,2,23061.16667,1423.333333,1
144,160000,FEMALE,3,2,26,-1,390,390,0
145,360000,MALE,3,1,54,-1,14588.33333,11950,0
146,240000,FEMALE,3,1,41,-1,1706.166667,1026.166667,0
147,500000,FEMALE,2,1,50,-1,34114.66667,34694.83333,0
148,60000,MALE,1,1,33,-1,7823.5,7699.666667,0
149,170000,MALE,1,1,39,3,83439.66667,3983.333333,1
150,350000,FEMALE,1,1,52,7,2400,0,1
151,210000,MALE,1,2,33,-1,316,316,0
152,360000,MALE,1,2,34,-1,25,34.83333333,0
153,470000,MALE,2,1,41,-1,16851.83333,16490,0
154,20000,FEMALE,3,1,48,2,12718.16667,683.3333333,1
155,200000,FEMALE,2,1,34,-1,8184.5,8899,0
156,200000,FEMALE,2,1,34,-1,4203.166667,4154.166667,0
157,70000,FEMALE,1,2,23,-1,1850,3394.833333,0
158,330000,FEMALE,2,1,28,-1,403.3333333,375,0
159,80000,MALE,2,1,41,-1,1757.5,1232,0
160,300000,FEMALE,3,2,29,-2,5486.333333,5536.666667,1
161,70000,FEMALE,2,2,26,2,45650.33333,2066.666667,1
162,300000,FEMALE,1,2,34,-1,8574.166667,6619.166667,0
163,150000,FEMALE,1,2,25,-1,2124.333333,2408.5,0
164,260000,FEMALE,4,2,42,-1,546.1666667,590.3333333,0
165,360000,MALE,2,1,44,-1,8685,9982.166667,0
166,350000,MALE,2,1,37,-1,3096,3114.666667,0
167,60000,MALE,2,1,37,2,30340.5,1294.333333,1
168,180000,FEMALE,2,2,24,2,106377.5,3329.666667,1
169,450000,MALE,3,1,58,-1,5375.333333,4349,0
170,30000,MALE,2,1,38,-1,893.5,1529.5,0
171,240000,MALE,2,1,30,-1,7992.333333,7743.166667,0
172,30000,FEMALE,3,2,24,-1,5686,4899.333333,0
173,210000,FEMALE,1,1,37,2,79734.16667,3350,1
174,70000,FEMALE,2,1,42,2,53233,2183.333333,1
175,230000,MALE,2,2,32,2,184289.3333,5750,1
176,100000,MALE,1,2,31,2,35015,1251.833333,1
177,20000,FEMALE,2,2,23,-1,7074.333333,5277.5,0
178,50000,FEMALE,2,1,37,3,1050,0,1
179,230000,MALE,2,2,39,-1,326,380.3333333,0
180,360000,MALE,1,2,32,-1,2818,3248.833333,0
181,20000,FEMALE,2,3,44,6,2300,0,1
182,180000,FEMALE,2,2,48,-1,3708.833333,3365.833333,0
183,50000,FEMALE,1,2,24,-1,600.1666667,550,0
184,190000,MALE,3,1,49,2,182201.5,7100,1
185,30000,FEMALE,1,2,27,2,31596.33333,1437.666667,1
186,360000,FEMALE,2,1,50,-1,1450.833333,1427,0
187,120000,FEMALE,3,1,27,-1,470,465,0
188,100000,FEMALE,1,1,41,-1,3024.833333,3024.833333,0
189,340000,MALE,1,1,52,-2,29054.83333,28958.83333,1
190,310000,MALE,1,1,50,-1,2308.5,2308.5,0
191,50000,FEMALE,3,1,31,2,40412.16667,1555.666667,1
192,210000,FEMALE,1,1,36,-1,1996.666667,1996.666667,0
193,120000,FEMALE,2,1,38,-1,2808.333333,2261.666667,0
194,390000,FEMALE,1,1,49,-1,21397.16667,25437.5,0
195,450000,FEMALE,2,2,36,-1,5747.166667,3510.333333,0
196,240000,MALE,1,2,35,-1,14791.33333,10185.16667,0
197,320000,FEMALE,3,2,29,-1,650,566.6666667,0
198,150000,FEMALE,2,1,37,-1,2000.666667,1674.333333,0
199,120000,MALE,2,2,27,-1,2396,1983.666667,0
200,170000,MALE,2,2,36,-1,12214.16667,11899,0
201,100000,FEMALE,1,1,43,-1,20064.5,21344.5,0
202,30000,FEMALE,3,1,47,-1,1546,1442.333333,0
203,200000,MALE,1,1,34,-1,2050.5,1453.333333,0
204,50000,FEMALE,1,2,27,2,39185.33333,2333.333333,1
205,500000,FEMALE,1,1,45,-1,10883,20166.66667,0
206,170000,MALE,1,2,26,-1,6688,3003.166667,0
207,190000,FEMALE,2,2,31,-1,1959,3714.833333,0
208,500000,FEMALE,1,2,36,-2,536.3333333,3365.5,1
209,280000,MALE,1,1,40,-1,7872.5,7314.833333,0
210,440000,MALE,1,1,37,-1,5679.5,5640.333333,0
211,300000,MALE,1,2,31,-1,8502.666667,1771.166667,0
212,250000,MALE,3,1,47,-1,2495.333333,2367.333333,0
213,180000,FEMALE,3,1,45,-1,396,396,0
214,20000,FEMALE,1,2,26,-1,269.6666667,614.5,0
215,150000,FEMALE,1,1,31,-2,730.8333333,968,1
216,180000,MALE,1,2,33,-1,2293.166667,2698,0
217,160000,MALE,2,2,29,-1,7053,7027.166667,0
218,120000,FEMALE,2,2,24,-1,8244.166667,8477.5,0
219,10000,MALE,2,2,38,3,1050,0,1
220,290000,FEMALE,1,1,33,-1,9723.5,9233.666667,0
221,500000,MALE,1,2,33,-1,4979.333333,5338.833333,0
222,200000,MALE,1,2,27,-1,6076.166667,5901.833333,0
223,360000,MALE,2,1,56,-1,1560.5,1541.166667,0
224,80000,FEMALE,2,1,37,2,17284,1133.333333,1
225,330000,FEMALE,1,1,47,-1,7181.5,7455.166667,0
226,450000,MALE,1,1,41,-1,275.8333333,161.5,0
227,180000,FEMALE,1,1,44,-1,11501.16667,15534.33333,0
228,280000,FEMALE,1,1,36,-1,21412.5,18999.66667,0
229,120000,MALE,3,1,47,-1,671,671,0
230,300000,FEMALE,3,1,31,-1,253.6666667,199.3333333,0
231,500000,FEMALE,1,2,46,-1,68233.66667,76004.33333,0
232,160000,MALE,1,1,40,-1,2452.666667,2985.5,0
233,180000,FEMALE,2,1,44,-1,1453.833333,1448.666667,0
234,70000,FEMALE,3,1,23,-1,6387,7193.666667,0
235,200000,FEMALE,1,1,35,-1,10899.66667,6622.5,0
236,50000,FEMALE,2,2,37,2,16173.66667,1433.333333,1
237,160000,FEMALE,3,1,51,2,146997,4901.666667,1
238,150000,MALE,1,2,30,-1,772.5,2627,0
239,200000,FEMALE,1,2,27,-1,11522,10174.83333,0
240,540000,FEMALE,1,2,34,-1,1076.666667,946,0
241,20000,FEMALE,2,2,24,-1,1094.5,1427.833333,0
242,10000,MALE,2,2,35,2,7561.666667,116.6666667,1
243,420000,FEMALE,2,2,35,-1,11588.16667,11333.5,0
244,40000,FEMALE,2,1,23,2,35487.33333,1516.666667,1
245,30000,FEMALE,2,2,47,2,17347.83333,800,1
246,150000,MALE,1,1,30,-1,13050,13255,0
247,100000,MALE,2,2,30,8,92887,6666.666667,1
248,500000,MALE,1,1,39,-1,7672.333333,8136.166667,0
249,360000,FEMALE,2,1,42,-1,10410.66667,7681.833333,0
250,290000,FEMALE,1,2,29,-1,3351.666667,4427.166667,0
251,170000,FEMALE,1,2,31,-1,5329.333333,5649.333333,0
252,20000,FEMALE,1,2,24,2,727.8333333,520,1
253,260000,FEMALE,1,2,91,-1,1835.333333,1987.5,0
254,20000,MALE,1,1,39,-1,629.6666667,783.3333333,0
255,180000,FEMALE,1,2,26,-1,2795.666667,2535.333333,0
256,220000,FEMALE,1,1,42,2,2500,0,1
257,130000,FEMALE,3,2,53,-1,21857.33333,20512.5,0
258,80000,FEMALE,3,2,40,2,41439.66667,1883.333333,1
259,20000,FEMALE,2,2,22,2,6444.5,422.6666667,1
260,100000,FEMALE,1,1,39,-1,39192.33333,40456.66667,0
261,320000,FEMALE,2,2,30,-1,887.6666667,1176.333333,0
262,50000,FEMALE,1,2,25,-1,557,1797.333333,0
263,120000,FEMALE,1,2,29,-1,380,796.6666667,0
264,230000,MALE,2,1,38,-1,326,326,0
265,330000,FEMALE,1,1,91,-1,365,8694,0
266,110000,MALE,2,2,26,2,60831.83333,2616.666667,1
267,220000,MALE,2,1,48,-1,22649.16667,14480.5,0
268,120000,FEMALE,2,1,26,-1,7463.166667,5561.333333,0
269,250000,MALE,2,1,50,-1,5138.833333,5138.833333,0
270,20000,MALE,3,1,49,-1,371,306,0
271,260000,MALE,1,2,34,-1,5603.333333,5072.5,0
272,170000,MALE,2,1,37,-1,1065,1158.333333,0
273,110000,MALE,2,1,36,2,60503.66667,3666.333333,1
274,90000,FEMALE,2,1,54,-1,3098.666667,3053.166667,0
275,90000,FEMALE,1,1,41,2,82421.5,3233.333333,1
276,10000,FEMALE,3,1,53,2,4205.333333,300,1
277,20000,MALE,1,2,23,2,16484.16667,756.6666667,1
278,70000,FEMALE,2,1,44,2,13678.16667,650,1
279,140000,MALE,1,1,57,3,112197.5,4965.166667,1
280,160000,MALE,2,1,66,2,71245.5,2850,1
281,50000,MALE,1,2,23,-1,3258.833333,3323.666667,0
282,150000,FEMALE,3,0,55,-1,5989.666667,6943.833333,0
283,230000,FEMALE,1,2,29,-1,5193.5,5581,0
284,150000,MALE,1,2,24,-1,2567.833333,2919.5,0
285,110000,FEMALE,1,2,29,2,104306.6667,4600,1
286,360000,FEMALE,2,2,35,-1,65881.5,56116.83333,0
287,400000,MALE,2,1,49,2,187659.5,6735.5,1
288,340000,MALE,1,1,53,-1,2723.333333,2659.333333,0
289,200000,FEMALE,1,2,29,-1,3753.833333,3803.833333,0
290,150000,FEMALE,3,1,35,-1,13481.33333,12323.66667,0
291,80000,MALE,1,1,45,-1,-25,463.3333333,0
292,360000,FEMALE,1,2,27,-1,380,708.3333333,0
293,200000,FEMALE,1,1,38,-1,3219,5686.333333,0
294,50000,MALE,2,2,58,2,29858.66667,498.8333333,1
295,450000,MALE,1,1,38,-1,18661.83333,18837.83333,0
296,80000,FEMALE,1,2,25,-1,3797.333333,3704.166667,0
297,150000,FEMALE,3,1,50,-1,2442.166667,1834.833333,0
298,380000,FEMALE,1,1,45,-1,19902.33333,48557.16667,0
299,30000,FEMALE,2,2,25,2,15127.5,775.1666667,1
300,200000,FEMALE,3,2,28,-1,3430.166667,3461.5,0
301,210000,FEMALE,2,1,56,-1,8905.333333,10697,0
302,180000,FEMALE,2,2,48,-1,1486.666667,3705.666667,0
303,210000,MALE,1,1,40,-1,18715.66667,18241.66667,0
304,160000,FEMALE,3,1,53,-1,4125,3735.5,0
305,200000,FEMALE,2,1,35,-1,114.6666667,114.6666667,0
306,80000,FEMALE,3,1,43,3,72715.16667,2450,1
307,360000,FEMALE,1,1,46,-1,9546.666667,12884.16667,0
308,30000,FEMALE,1,2,30,-1,2041.166667,3289.5,0
309,30000,FEMALE,3,3,60,-1,2522,3251.666667,0
310,200000,FEMALE,2,2,39,2,180311.6667,529.6666667,1
311,200000,FEMALE,2,2,23,-1,7575.833333,9430.833333,0
312,90000,FEMALE,1,2,29,-2,2700.166667,2929.833333,1
313,10000,MALE,1,2,23,-1,2278.166667,570.8333333,0
314,210000,FEMALE,1,1,38,-1,4448.833333,4911,0
315,140000,FEMALE,3,2,33,-1,1591.833333,2412.333333,0
316,360000,MALE,1,2,30,-1,2520.333333,680.5,0
317,90000,FEMALE,1,2,26,-1,2544.333333,2466.666667,0
318,120000,FEMALE,1,2,25,-1,6732.666667,5125.666667,0
319,230000,FEMALE,1,1,42,-1,2335.5,2644.666667,0
320,50000,FEMALE,2,2,25,2,37302,1273.333333,1
321,40000,MALE,2,1,38,2,35428.83333,1878.5,1
322,280000,MALE,1,1,51,-1,2718.833333,5197,0
323,80000,FEMALE,3,2,24,-1,1302,1451.333333,0
324,180000,MALE,2,2,29,2,2103.833333,732.3333333,1
325,50000,MALE,3,1,32,2,41540,1650,1
326,130000,FEMALE,2,2,24,-1,879,1054.166667,0
327,180000,MALE,2,1,30,-1,2750,3464.333333,0
328,50000,FEMALE,3,2,43,7,2400,0,1
329,360000,MALE,1,2,35,-1,1722.666667,1632.666667,0
330,20000,FEMALE,2,1,24,2,16191.5,683.3333333,1
331,130000,MALE,1,2,27,-1,28317,1727,0
332,120000,FEMALE,2,2,25,2,80588.5,1816.666667,1
333,50000,FEMALE,2,2,41,2,32756.5,8183.333333,1
334,30000,FEMALE,2,2,26,2,28985.33333,1683.333333,1
335,20000,MALE,2,2,27,2,19282.33333,636.1666667,1
336,140000,FEMALE,1,2,29,2,98615,2816.166667,1
337,20000,MALE,1,2,29,2,11542.5,716.6666667,1
338,300000,FEMALE,2,2,30,-1,1841.5,2167,0
339,80000,FEMALE,2,1,23,-2,415,350,1
340,300000,MALE,1,1,47,-1,3614.333333,7143.333333,0
341,300000,FEMALE,1,2,28,-1,7717.833333,7668.833333,0
342,180000,MALE,2,2,30,-1,5384,5435.166667,0
343,30000,MALE,3,1,28,4,25486.33333,1228.5,1
344,230000,FEMALE,1,2,25,-1,471,398.1666667,0
345,500000,FEMALE,1,1,33,-1,1460,968.6666667,0
346,50000,MALE,2,2,26,-1,1140,1140,0
347,210000,MALE,3,1,37,-1,1869.166667,1869,0
348,220000,FEMALE,1,0,33,-1,1412.333333,931.3333333,0
349,200000,MALE,1,2,28,-1,3825.166667,4398.5,0
350,310000,FEMALE,1,2,32,-2,17564.33333,15435.5,1
351,120000,FEMALE,1,2,29,-1,465.3333333,832.3333333,0
352,130000,FEMALE,1,2,32,-1,837.6666667,1737.666667,0
353,500000,MALE,1,1,43,-1,1048.666667,1189.666667,0
354,420000,FEMALE,2,1,36,-1,3634,3106.833333,0
355,210000,FEMALE,1,1,34,-1,252.3333333,585.3333333,0
356,360000,MALE,1,1,39,-1,1285.166667,1285.166667,0
357,220000,FEMALE,1,2,45,-1,5009,4918.666667,0
358,120000,FEMALE,1,1,38,-1,10132.33333,9958.333333,0
359,160000,MALE,2,2,30,-1,316,263.3333333,0
360,280000,FEMALE,1,2,32,-1,13837.33333,9407.5,0
361,160000,FEMALE,1,2,31,-1,75,104.6666667,0
362,350000,MALE,1,1,42,-1,4068.333333,5210.166667,0
363,170000,FEMALE,2,2,39,-1,4549.5,5359.333333,0
364,120000,FEMALE,1,2,30,-1,1439,1047.5,0
365,250000,MALE,1,2,31,-2,2055.5,2353.666667,1
366,240000,FEMALE,2,1,47,2,132970.8333,5973.166667,1
367,420000,FEMALE,2,1,57,-1,2143.833333,2353.166667,0
368,220000,MALE,1,1,53,-1,1650.166667,2362.5,0
369,260000,FEMALE,1,1,32,-1,1291.5,1436.333333,0
370,200000,MALE,2,1,31,2,224997.3333,571.3333333,1
371,50000,FEMALE,1,2,25,2,44498.5,1233.333333,1
372,90000,MALE,3,1,46,-1,933.1666667,983,0
373,80000,FEMALE,3,2,27,-2,1180.333333,1041,1
374,200000,FEMALE,1,1,38,-1,3913.166667,3725.666667,0
375,120000,FEMALE,1,1,39,-1,152.5,152.5,0
376,180000,FEMALE,1,2,26,-1,1308,1308,0
377,50000,FEMALE,1,2,26,-1,1657.666667,1566,0
378,50000,FEMALE,1,2,24,2,39511.66667,1400,1
379,150000,FEMALE,3,1,57,-1,9805.833333,9768,0
380,300000,FEMALE,1,1,32,-1,29132.16667,30554.16667,0
381,110000,FEMALE,2,1,42,-1,801,801,0
382,100000,FEMALE,1,2,29,-1,7592.833333,6143.5,0
383,230000,FEMALE,3,1,47,-1,3970.666667,3277.166667,0
384,90000,FEMALE,2,1,24,2,85858,2663.333333,1
385,50000,FEMALE,2,2,25,2,17388.16667,958.3333333,1
386,500000,MALE,1,1,40,-2,6114.166667,5243.833333,1
387,180000,FEMALE,1,2,53,-1,21195,21195,0
388,130000,MALE,1,2,32,-1,19609,10833.33333,0
389,100000,MALE,2,2,35,2,33528.66667,11394.16667,1
390,500000,MALE,1,1,49,-1,1320,1320,0
391,30000,FEMALE,2,1,34,2,26915.83333,1531.833333,1
392,50000,MALE,1,2,24,-1,30.16666667,311,0
393,80000,FEMALE,2,1,24,-1,3695,1092.833333,0
394,20000,MALE,2,1,38,-1,3463.333333,3860.833333,0
395,280000,FEMALE,3,2,33,-1,2232.166667,4802.333333,0
396,470000,MALE,1,1,39,-1,7346,7512.333333,0
397,180000,FEMALE,3,1,40,-1,1208.666667,891.5,0
398,120000,FEMALE,1,2,31,-1,581.8333333,581.8333333,0
399,360000,FEMALE,1,2,37,-1,9240,9488.333333,0
400,210000,MALE,3,2,32,-1,972.8333333,882,0
401,330000,FEMALE,1,2,34,-1,14491.16667,54097.83333,0
402,30000,MALE,3,1,44,-2,3480.5,0,1
403,200000,MALE,1,2,35,-1,20345.33333,23570.33333,0
404,100000,FEMALE,3,1,36,2,57795.16667,2883.333333,1
405,120000,MALE,1,1,37,-1,16040,10698.33333,0
406,200000,MALE,3,2,25,-1,697.6666667,557.3333333,0
407,300000,MALE,1,2,34,-1,11679.16667,11896.5,0
408,180000,MALE,1,1,38,-1,326,326,0
409,250000,FEMALE,1,2,26,-1,1653.333333,424.3333333,0
410,280000,MALE,1,1,44,-1,-2.333333333,1276.166667,0
411,50000,MALE,2,1,37,-1,8381.333333,7608.333333,0
412,20000,MALE,3,2,36,-1,525,733,0
413,310000,FEMALE,1,1,33,-2,168.1666667,149,1
414,210000,FEMALE,3,1,45,-1,430,2158,0
415,30000,FEMALE,2,2,24,7,300,0,0
416,310000,MALE,2,2,29,-1,10359.5,6984.5,0
417,360000,FEMALE,1,1,39,-1,545.5,518,0
418,280000,FEMALE,1,1,37,-1,12633.83333,13096.16667,0
419,500000,FEMALE,2,1,39,-1,20221,18866.83333,0
420,160000,FEMALE,1,1,32,-1,3422.833333,3284.333333,0
421,200000,MALE,2,1,46,-1,6206,3979.666667,0
422,260000,MALE,1,2,28,-1,40242.16667,33736.5,0
423,210000,MALE,2,1,42,-1,9331.833333,8284.333333,0
424,70000,FEMALE,2,1,41,2,52516.5,2133.333333,1
425,90000,FEMALE,3,1,40,-1,10869.33333,13042.66667,0
426,360000,FEMALE,1,1,33,-1,27397,19730.16667,0
427,390000,MALE,2,1,42,-1,2338.666667,2133,0
428,160000,MALE,2,2,28,-1,690,550,0
429,90000,FEMALE,1,1,43,-1,10091.5,7445.333333,0
430,430000,FEMALE,1,2,39,-1,3270,3232.5,0
431,390000,MALE,1,2,34,-1,8987,8689.5,0
432,40000,FEMALE,3,1,49,-1,25,51.5,0
433,20000,FEMALE,1,2,25,2,16946.16667,2550,1
434,210000,FEMALE,2,1,33,-1,378,366.6666667,0
435,80000,FEMALE,2,2,24,2,79394.16667,2950,1
436,440000,FEMALE,1,1,37,-1,5704.833333,6061,0
437,20000,MALE,3,2,59,2,16302.83333,853.5,1
438,170000,FEMALE,2,1,48,-1,53642.33333,51072.66667,0
439,300000,FEMALE,1,2,39,-1,326.3333333,210.5,0
440,180000,FEMALE,1,2,47,-1,319.6666667,392.8333333,0
441,30000,FEMALE,1,1,30,2,13397.33333,833.3333333,1
442,120000,MALE,3,1,53,-1,242.5,291,0
443,230000,FEMALE,2,2,26,2,1663,214.3333333,1
444,200000,MALE,1,3,29,-1,3453.166667,2274.5,0
445,80000,MALE,1,2,31,2,21855.33333,916.6666667,1
446,30000,MALE,2,1,44,2,22991,748.3333333,1
